summary_method,folder,inner_folder,rooting_method,average_diff

stelar,15-taxon,100gene-100bp/estimated-genetrees,MP,2.113779
stelar,15-taxon,100gene-100bp/estimated-genetrees,MV,2.017332
stelar,15-taxon,100gene-100bp/estimated-genetrees,MAD,2.376830
stelar,15-taxon,100gene-100bp/estimated-genetrees,OG,2.003427
stelar,15-taxon,100gene-100bp/estimated-genetrees,RAND,2.123119

stelar,15-taxon,100gene-1000bp/estimated-genetrees,MP,1.624787
stelar,15-taxon,100gene-1000bp/estimated-genetrees,MV,1.661397
stelar,15-taxon,100gene-1000bp/estimated-genetrees,MAD,1.588340
stelar,15-taxon,100gene-1000bp/estimated-genetrees,OG,1.560951
stelar,15-taxon,100gene-1000bp/estimated-genetrees,RAND,1.948780

stelar,15-taxon,100gene-true,MP,1.619367
stelar,15-taxon,100gene-true,MV,1.562597
stelar,15-taxon,100gene-true,MAD,0.120841
stelar,15-taxon,100gene-true,OG,1.447780
stelar,15-taxon,100gene-true,RAND,1.956021

stelar,15-taxon,1000gene-100bp/estimated-genetrees,MP,124.256609
stelar,15-taxon,1000gene-100bp/estimated-genetrees,MV,124.725820
stelar,15-taxon,1000gene-100bp/estimated-genetrees,MAD,161.187478
stelar,15-taxon,1000gene-100bp/estimated-genetrees,OG,123.984981
stelar,15-taxon,1000gene-100bp/estimated-genetrees,RAND,173.453482

stelar,15-taxon,1000gene-1000bp/estimated-genetrees,MP,52.996769
stelar,15-taxon,1000gene-1000bp/estimated-genetrees,MV,53.345823
stelar,15-taxon,1000gene-1000bp/estimated-genetrees,MAD,56.803436
stelar,15-taxon,1000gene-1000bp/estimated-genetrees,OG,53.296218
stelar,15-taxon,1000gene-1000bp/estimated-genetrees,RAND,83.976290

stelar,15-taxon,1000gene-true,MP,48.278723
stelar,15-taxon,1000gene-true,MV,46.263034
stelar,15-taxon,1000gene-true,MAD,0.153793
stelar,15-taxon,1000gene-true,OG,43.518843
stelar,15-taxon,1000gene-true,RAND,73.415634

