folder,inner_folder,method,mean,std
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,astral-None,0.04375,0.07339286857654997
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,stelar-MP,0.04375,0.07339286857654997
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,stelar-MV,0.04375,0.07339286857654997
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,stelar-OG,0.05,0.08506963092234006
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,stelar-RAND,0.1125,0.10653020327834879
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,astral-None,0.13125,0.10319724343523706
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP,0.14375,0.09314497754632434
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV,0.14375,0.09314497754632434
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG,0.125,0.08111071056538127
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND,0.2875,0.10806309073382718
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,astral-None,0.1,0.08698154674230742
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP,0.09375,0.08954379992642236
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV,0.09375,0.08954379992642236
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG,0.09375,0.08954379992642236
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND,0.20625,0.14208851022106647
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,astral-None,0.05625,0.06380222319175505
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP,0.05,0.06282808624375431
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV,0.05,0.06282808624375431
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG,0.06875,0.06380222319175506
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-RAND,0.1625,0.10016433864825397
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,astral-None,0.29375,0.18706088932695009
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,stelar-MP,0.3125,0.17443517873109016
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,stelar-MV,0.3125,0.17443517873109016
