summary_method,folder,inner_folder,rooting_method,average_rf

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP,0.312500
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV,0.312500
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG,0.312500
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND,0.343750

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP,0.143750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV,0.143750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG,0.125000
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND,0.231250

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP,0.093750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV,0.093750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG,0.093750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND,0.268750

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP,0.050000
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV,0.050000
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG,0.068750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND,0.150000

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP,0.043750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV,0.043750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG,0.050000
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND,0.106250

